2380019;zebra;0.9999926;xrai
2380189;zebra;0.9999993;xrai
2380319;broccoli;0.9999957;lime
2380447;bullet_train;0.9999869;lime
2380669;parking_meter;0.9999993;xrai
2380865;traffic_light;0.99999714;lime
2380905;gondola;0.9999888;anchor
2380925;zebra;0.9999987;xrai
2381648;zebra;0.9999995;lime
2381879;zebra;0.99999523;xrai
2381932;traffic_light;0.99999964;lime
2381941;zebra;0.9999914;lime
2381968;ski;0.999984;xrai
2382183;pizza;0.99998593;ig
2382436;park_bench;0.99999964;xrai
2382474;bow_tie;0.9999982;xrai
2382589;zebra;0.9999982;xrai
2382792;umbrella;0.9999838;lime
2382909;zebra;0.9999988;xrai
2382913;zebra;0.9999883;lime
2383286;zebra;0.99999857;xrai
2383569;parking_meter;0.9999988;xrai
2383706;umbrella;0.9999994;lime
2384145;street_sign;0.9999987;xrai
2384512;zebra;0.99999726;xrai
2384755;street_sign;0.9999924;anchor
2385034;zebra;0.9999981;xrai
2385039;zebra;0.9999844;ig
2385187;street_sign;0.99999595;lime
2385298;parking_meter;0.9999865;xrai
2385461;zebra;0.99998415;xrai
2385767;zebra;0.9999958;xrai
2386049;king_penguin;0.99999917;xrai
2386068;zebra;0.9999949;xrai
2386193;broccoli;0.9999924;xrai
2386456;zebra;0.9999989;xrai
2386750;pizza;0.9999889;anchor
2387034;zebra;0.9999896;xrai
2387038;street_sign;0.9999888;lime
2387305;traffic_light;1.0;xrai
2387437;parking_meter;0.9999839;lime
2388441;banana;0.9999993;xrai
2388889;hotdog;0.99999714;anchor
2389131;pizza;0.9999943;anchor
2389163;zebra;0.9999957;xrai
2389324;zebra;0.9999993;xrai
2389484;street_sign;0.99998474;lime
2390296;umbrella;0.99999106;ig
2391408;traffic_light;0.99999654;xrai
2391701;zebra;0.9999912;xrai
2391862;broccoli;0.99999714;ig
2391918;steam_locomotive;0.99999845;xrai
2391964;flamingo;1.0;xrai
2392124;zebra;0.99999523;xrai
2392324;traffic_light;0.9999964;lime
2392349;umbrella;0.9999994;lime
2392405;parking_meter;0.9999993;lime
2392579;zebra;0.9999969;xrai
2392619;zebra;0.9999875;xrai
2392730;pizza;0.9999974;anchor
2392818;park_bench;0.99999;xrai
2393774;zebra;0.9999995;lime
2394019;zebra;0.99999285;xrai
2394082;street_sign;0.99999905;lime
2395038;zebra;0.9999976;lime
2395510;traffic_light;0.9999993;xrai
2395716;pizza;0.9999968;lime
2395787;pizza;0.99999535;lime
2396034;remote_control;0.9999856;lime
2396153;brown_bear;0.9999938;anchor
2397486;zebra;0.9999875;xrai
2398585;bow_tie;0.9999838;xrai
2398771;traffic_light;0.99999;lime
2398975;umbrella;0.9999958;lime
2399217;umbrella;0.9999863;lime
2399675;zebra;0.9999883;xrai
2400121;pizza;0.9999962;anchor
2400622;zebra;0.9999901;anchor
2401217;traffic_light;0.9999895;xrai
2401224;zebra;0.9999882;anchor
2401383;slug;0.9999933;xrai
2401691;pineapple;0.999998;xrai
2401906;parking_meter;1.0;lime
2401921;zebra;0.99999845;xrai
2402056;toilet_seat;0.99999917;lime
2402132;traffic_light;0.9999951;xrai
2402264;zebra;0.9999931;xrai
2402745;bullet_train;0.99999857;lime
2402950;zebra;0.99999344;xrai
2403199;zebra;0.9999869;xrai
2403338;seat_belt;0.99999917;lime
2403403;banana;0.9999926;lime
2403741;zebra;0.99999523;xrai
2404051;street_sign;0.9999999;xrai
2404127;zebra;0.9999933;anchor
2404229;zebra;0.99998367;lime
2404281;zebra;0.999998;xrai
2404583;umbrella;0.99999297;lime
2404955;banana;0.9999995;lime
2405041;broccoli;0.99999845;anchor
2405042;parking_meter;0.99999094;anchor
2405210;pizza;0.9999869;lime
2405280;zebra;0.9999938;xrai
2405479;traffic_light;0.9999939;lime
2405905;traffic_light;0.99999535;lime
2406209;brown_bear;0.999985;anchor
2406581;zebra;0.9999939;lime
2406857;zebra;0.9999894;xrai
2406887;ski;0.99999785;xrai
2407130;umbrella;0.9999888;lime
2407788;pizza;0.99999785;lime
2407951;zebra;0.9999975;xrai
2408592;goose;0.999998;lime
2408701;zebra;0.9999981;xrai
2408719;ski;0.99999297;xrai
2408884;zebra;0.9999913;anchor
2408970;zebra;0.9999865;xrai
2409063;zebra;0.999997;xrai
2409266;zebra;0.99999774;xrai
2409472;umbrella;0.9999845;anchor
2409550;street_sign;0.99999905;xrai
2409589;zebra;0.99999976;xrai
2409637;four-poster;0.99999464;lime
2409765;zebra;0.99999833;xrai
2409822;steam_locomotive;0.9999906;lime
2409953;brown_bear;0.99998903;lime
2410081;parking_meter;1.0;lime
2410336;zebra;0.99999547;xrai
2410410;ski;0.99999356;lime
2410440;parking_meter;0.99999106;xrai
2410779;parking_meter;0.99999917;xrai
2410903;steam_locomotive;0.9999876;xrai
2410974;toilet_seat;0.9999939;lime
2411097;zebra;0.9999974;xrai
2411196;crane;0.9999995;lime
2411372;parking_meter;0.999995;anchor
2411390;parking_meter;0.9999988;xrai
2411407;zebra;0.9999969;xrai
2411645;parking_meter;0.999985;xrai
2411646;banana;0.99999595;lime
2411665;zebra;0.99998856;anchor
2411784;traffic_light;0.9999945;anchor
2411841;zebra;0.99999833;xrai
2411942;zebra;0.99999654;anchor
2412027;school_bus;0.99998724;lime
2412267;zebra;0.9999939;lime
2412402;zebra;0.9999877;lime
2412908;zebra;0.99998975;lime
2412939;forklift;0.9999883;lime
2413024;banana;1.0;lime
2413227;park_bench;0.99998546;lime
2413495;traffic_light;0.9999925;lime
2413521;parking_meter;0.99999976;lime
2413786;parking_meter;0.9999925;xrai
2414277;zebra;0.9999908;lime
2414335;refrigerator;0.9999889;lime
2414384;ski;0.9999949;lime
2414513;bagel;0.9999893;lime
2414760;zebra;0.9999895;xrai
2414892;pizza;0.99999857;lime
2414996;park_bench;0.9999907;xrai
2415102;zebra;0.9999876;xrai
2415402;zebra;0.99998903;anchor
2415567;zebra;0.9999902;anchor
2415648;broccoli;0.9999943;anchor
2415737;parking_meter;0.99999785;xrai
2415910;zebra;0.9999962;lime
2416228;parking_meter;0.9999914;xrai
2416408;zebra;0.9999962;anchor
2416516;zebra;0.99999714;anchor
2416627;zebra;0.9999987;xrai
2417055;broccoli;0.9999864;anchor
2417382;zebra;0.9999864;anchor
2417395;zebra;0.9999993;lime
2417421;parking_meter;0.9999999;xrai
2417586;zebra;0.99999535;xrai
2417881;zebra;0.9999945;lime
2417938;banana;0.9999944;lime
4099;pool_table;0.9999945;lime
4339;manhole_cover;0.99999416;anchor
4534;viaduct;0.9999877;xrai
4573;barrel;0.9999974;xrai
4673;triumphal_arch;0.9999893;lime
576;gondola;0.9999993;xrai
577;gondola;0.9999962;lime
691;cheetah;0.99999213;lime
577;gondola;0.9999962;xrai
2408701;zebra;0.9999981;lime
2399675;zebra;0.9999883;xrai
2377471;pizza;0.9999988;ig
2378170;zebra;0.9999902;lime
2393774;zebra;0.9999995;lime
2410903;steam_locomotive;0.9999876;ig
2413786;parking_meter;0.9999925;xrai
2402745;bullet_train;0.99999857;lime
2415402;zebra;0.99998903;lime
2392818;park_bench;0.99999;xrai
2410440;parking_meter;0.99999106;xrai
2387034;zebra;0.9999896;ig
2415102;zebra;0.9999876;xrai
2410336;zebra;0.99999547;xrai
2412908;zebra;0.99998975;xrai
2411646;banana;0.99999595;lime
2385034;zebra;0.9999981;ig
2413521;parking_meter;0.99999976;xrai
2382183;pizza;0.99998593;anchor
2417586;zebra;0.99999535;xrai
2414384;ski;0.9999949;lime
2405280;zebra;0.9999938;xrai
2380865;traffic_light;0.99999714;lime
2396153;brown_bear;0.9999938;lime
2381879;zebra;0.99999523;ig
2380905;gondola;0.9999888;xrai
2395716;pizza;0.9999968;lime
2383706;umbrella;0.9999994;lime
2411196;crane;0.9999995;lime
2404127;zebra;0.9999933;lime
2410779;parking_meter;0.99999917;xrai
2395787;pizza;0.99999535;xrai
2408592;goose;0.999998;lime
2406857;zebra;0.9999894;lime
2408884;zebra;0.9999913;lime
2413024;banana;1.0;lime
2396034;remote_control;0.9999856;lime
2398585;bow_tie;0.9999838;ig
2409822;steam_locomotive;0.9999906;lime
2411390;parking_meter;0.9999988;xrai
1328;coil;0.99999607;ig
2417395;zebra;0.9999993;xrai
2416516;zebra;0.99999714;lime
2386068;zebra;0.9999949;anchor
2412267;zebra;0.9999939;lime
4534;viaduct;0.9999877;xrai
2405041;broccoli;0.99999845;anchor
2414760;zebra;0.9999895;xrai
2414277;zebra;0.9999908;xrai
2381932;traffic_light;0.99999964;lime
2380189;zebra;0.9999993;lime
2416627;zebra;0.9999987;xrai
2400121;pizza;0.9999962;lime
2395038;zebra;0.9999976;xrai
2417055;broccoli;0.9999864;ig
2404229;zebra;0.99998367;xrai
2386049;king_penguin;0.99999917;xrai
2411097;zebra;0.9999974;xrai
2411942;zebra;0.99999654;xrai
2382792;umbrella;0.9999838;lime
2409063;zebra;0.999997;xrai
2401691;pineapple;0.999998;ig
2380447;bullet_train;0.9999869;xrai
2414892;pizza;0.99999857;xrai
2382913;zebra;0.9999883;lime
2398771;traffic_light;0.99999;lime
2407130;umbrella;0.9999888;xrai
2402950;zebra;0.99999344;xrai
2378358;park_bench;0.99999833;lime
2379086;zebra;0.9999975;xrai
2382436;park_bench;0.99999964;xrai
691;cheetah;0.99999213;xrai
2385461;zebra;0.99998415;xrai
2415648;broccoli;0.9999943;xrai
2415737;parking_meter;0.99999785;xrai
2386750;pizza;0.9999889;anchor
2411665;zebra;0.99998856;xrai
4673;triumphal_arch;0.9999893;lime
2380019;zebra;0.9999926;xrai
2401224;zebra;0.9999882;xrai
2416408;zebra;0.9999962;xrai
2403741;zebra;0.99999523;ig
2392730;pizza;0.9999974;lime
2405210;pizza;0.9999869;lime
2379489;parking_meter;0.9999989;lime
2380017;zebra;0.9999995;xrai
2391862;broccoli;0.99999714;lime
2382589;zebra;0.9999982;ig
2406887;ski;0.99999785;lime
2383286;zebra;0.99999857;anchor
2412402;zebra;0.9999877;xrai
2417938;banana;0.9999944;lime
2391701;zebra;0.9999912;lime
2414335;refrigerator;0.9999889;ig
2401921;zebra;0.99999845;xrai
2411841;zebra;0.99999833;xrai
2411784;traffic_light;0.9999945;xrai
2392124;zebra;0.99999523;xrai
2411372;parking_meter;0.999995;xrai
2411407;zebra;0.9999969;lime
2381941;zebra;0.9999914;lime
4573;barrel;0.9999974;xrai
2392579;zebra;0.9999969;lime
2401906;parking_meter;1.0;xrai
2417421;parking_meter;0.9999999;lime
2403199;zebra;0.9999869;xrai
2392324;traffic_light;0.9999964;xrai
2402056;toilet_seat;0.99999917;lime
2414513;bagel;0.9999893;lime
2409589;zebra;0.99999976;lime
2407788;pizza;0.99999785;lime
2391408;traffic_light;0.99999654;lime
576;gondola;0.9999993;xrai
2383569;parking_meter;0.9999988;xrai
2386456;zebra;0.9999989;xrai
2392619;zebra;0.9999875;xrai
2384512;zebra;0.99999726;xrai
2388889;hotdog;0.99999714;ig
2410410;ski;0.99999356;lime
2392349;umbrella;0.9999994;lime
2411645;parking_meter;0.999985;xrai
2384145;street_sign;0.9999987;lime
2402264;zebra;0.9999931;lime
2404051;street_sign;0.9999999;lime
2404281;zebra;0.999998;xrai
2384755;street_sign;0.9999924;lime
2392405;parking_meter;0.9999993;lime
2394082;street_sign;0.99999905;lime
1222;pool_table;0.9999995;lime
2386193;broccoli;0.9999924;lime
2389324;zebra;0.9999993;xrai
2378523;banana;0.99999785;lime
2401383;slug;0.9999933;anchor
2415567;zebra;0.9999902;xrai
2399217;umbrella;0.9999863;lime
2404955;banana;0.9999995;lime
2406581;zebra;0.9999939;lime
2385039;zebra;0.9999844;lime
2390296;umbrella;0.99999106;xrai
2394019;zebra;0.99999285;xrai
2403403;banana;0.9999926;xrai
2401217;traffic_light;0.9999895;lime
2409472;umbrella;0.9999845;xrai
2377620;zebra;0.9999882;lime
2405042;parking_meter;0.99999094;xrai
2389131;pizza;0.9999943;lime
2409266;zebra;0.99999774;xrai
2382474;bow_tie;0.9999982;xrai
2405479;traffic_light;0.9999939;xrai
2387305;traffic_light;1.0;xrai
2395510;traffic_light;0.9999993;xrai
2410974;toilet_seat;0.9999939;xrai
2387437;parking_meter;0.9999839;lime
2400622;zebra;0.9999901;lime
2381648;zebra;0.9999995;xrai
2417881;zebra;0.9999945;xrai
2380669;parking_meter;0.9999993;xrai
2403338;seat_belt;0.99999917;xrai
2404583;umbrella;0.99999297;lime
2409953;brown_bear;0.99998903;lime
2408970;zebra;0.9999865;lime
2391918;steam_locomotive;0.99999845;lime
2385187;street_sign;0.99999595;lime
2391964;flamingo;1.0;xrai
2385767;zebra;0.9999958;xrai
2380319;broccoli;0.9999957;ig
2380925;zebra;0.9999987;xrai
2387038;street_sign;0.9999888;xrai
2405905;traffic_light;0.99999535;xrai
2407951;zebra;0.9999975;xrai
2377698;zebra;0.9999999;lime
2408719;ski;0.99999297;lime
2409637;four-poster;0.99999464;lime
2413495;traffic_light;0.9999925;xrai
2412027;school_bus;0.99998724;lime
2412939;forklift;0.9999883;xrai
2415910;zebra;0.9999962;xrai
2381968;ski;0.999984;lime
2382909;zebra;0.9999988;xrai
2402132;traffic_light;0.9999951;lime
2389484;street_sign;0.99998474;xrai
2409550;street_sign;0.99999905;xrai
2414996;park_bench;0.9999907;xrai
2413227;park_bench;0.99998546;lime
2406209;brown_bear;0.999985;xrai
4099;pool_table;0.9999945;lime
2388441;banana;0.9999993;xrai
2389163;zebra;0.9999957;xrai
134;zebra;0.9999949;xrai
2397486;zebra;0.9999875;xrai
4339;manhole_cover;0.99999416;anchor
2398975;umbrella;0.9999958;xrai
2409765;zebra;0.99999833;xrai
2410081;parking_meter;1.0;xrai
2385298;parking_meter;0.9999865;xrai
2416228;parking_meter;0.9999914;xrai
2417382;zebra;0.9999864;xrai
1222;pool_table;0.9999995;lime
1328;coil;0.99999607;ig
134;zebra;0.9999949;xrai
2377471;pizza;0.9999988;ig
2377620;zebra;0.9999882;xrai
2377698;zebra;0.9999999;ig
2378170;zebra;0.9999902;xrai
2378358;park_bench;0.99999833;xrai
2378523;banana;0.99999785;lime
2379086;zebra;0.9999975;xrai
2379489;parking_meter;0.9999989;lime
2380017;zebra;0.9999995;xrai
2380019;zebra;0.9999926;xrai
2380189;zebra;0.9999993;xrai
2380319;broccoli;0.9999957;lime
2380447;bullet_train;0.9999869;xrai
2380669;parking_meter;0.9999993;xrai
2380865;traffic_light;0.99999714;xrai
2380905;gondola;0.9999888;xrai
2380925;zebra;0.9999987;xrai
2381648;zebra;0.9999995;xrai
2381879;zebra;0.99999523;xrai
2381932;traffic_light;0.99999964;lime
2381941;zebra;0.9999914;xrai
2381968;ski;0.999984;xrai
2382183;pizza;0.99998593;anchor
2382436;park_bench;0.99999964;xrai
2382474;bow_tie;0.9999982;lime
2382589;zebra;0.9999982;ig
2382792;umbrella;0.9999838;lime
2382909;zebra;0.9999988;ig
2382913;zebra;0.9999883;lime
2383286;zebra;0.99999857;ig
2383569;parking_meter;0.9999988;xrai
2383706;umbrella;0.9999994;ig
2384145;street_sign;0.9999987;lime
2384512;zebra;0.99999726;xrai
2384755;street_sign;0.9999924;lime
2385034;zebra;0.9999981;xrai
2385039;zebra;0.9999844;ig
2385187;street_sign;0.99999595;lime
2385298;parking_meter;0.9999865;xrai
2385461;zebra;0.99998415;xrai
2385767;zebra;0.9999958;xrai
2386049;king_penguin;0.99999917;xrai
2386068;zebra;0.9999949;anchor
2386193;broccoli;0.9999924;lime
2386456;zebra;0.9999989;xrai
2386750;pizza;0.9999889;anchor
2387034;zebra;0.9999896;ig
2387038;street_sign;0.9999888;xrai
2387305;traffic_light;1.0;lime
2387437;parking_meter;0.9999839;xrai
2388441;banana;0.9999993;xrai
2388889;hotdog;0.99999714;ig
2389131;pizza;0.9999943;ig
2389163;zebra;0.9999957;xrai
2389324;zebra;0.9999993;xrai
2389484;street_sign;0.99998474;xrai
2390296;umbrella;0.99999106;ig
2391408;traffic_light;0.99999654;xrai
2391701;zebra;0.9999912;xrai
2391862;broccoli;0.99999714;ig
2391918;steam_locomotive;0.99999845;xrai
2391964;flamingo;1.0;xrai
2392124;zebra;0.99999523;xrai
2392324;traffic_light;0.9999964;lime
2392349;umbrella;0.9999994;lime
2392405;parking_meter;0.9999993;xrai
2392579;zebra;0.9999969;xrai
2392619;zebra;0.9999875;xrai
2392730;pizza;0.9999974;anchor
2392818;park_bench;0.99999;anchor
2393774;zebra;0.9999995;ig
2394019;zebra;0.99999285;xrai
2394082;street_sign;0.99999905;xrai
2395038;zebra;0.9999976;ig
2395510;traffic_light;0.9999993;xrai
2395716;pizza;0.9999968;ig
2395787;pizza;0.99999535;ig
2396034;remote_control;0.9999856;lime
2396153;brown_bear;0.9999938;ig
2397486;zebra;0.9999875;ig
2398585;bow_tie;0.9999838;ig
2398771;traffic_light;0.99999;xrai
2398975;umbrella;0.9999958;xrai
2399217;umbrella;0.9999863;lime
2399675;zebra;0.9999883;xrai
2400121;pizza;0.9999962;anchor
2400622;zebra;0.9999901;lime
2401217;traffic_light;0.9999895;xrai
2401224;zebra;0.9999882;xrai
2401383;slug;0.9999933;xrai
2401691;pineapple;0.999998;anchor
2401906;parking_meter;1.0;xrai
2401921;zebra;0.99999845;xrai
2402056;toilet_seat;0.99999917;ig
2402132;traffic_light;0.9999951;xrai
2402264;zebra;0.9999931;xrai
2402745;bullet_train;0.99999857;lime
2402950;zebra;0.99999344;xrai
2403199;zebra;0.9999869;xrai
2403338;seat_belt;0.99999917;lime
2403403;banana;0.9999926;lime
2403741;zebra;0.99999523;ig
2404051;street_sign;0.9999999;xrai
2404127;zebra;0.9999933;xrai
2404229;zebra;0.99998367;lime
2404281;zebra;0.999998;xrai
2404583;umbrella;0.99999297;ig
2404955;banana;0.9999995;lime
2405041;broccoli;0.99999845;anchor
2405042;parking_meter;0.99999094;ig
2405210;pizza;0.9999869;lime
2405280;zebra;0.9999938;ig
2405479;traffic_light;0.9999939;xrai
2405905;traffic_light;0.99999535;xrai
2406209;brown_bear;0.999985;ig
2406581;zebra;0.9999939;xrai
2406857;zebra;0.9999894;xrai
2406887;ski;0.99999785;anchor
2407130;umbrella;0.9999888;lime
2407788;pizza;0.99999785;lime
2407951;zebra;0.9999975;lime
2408592;goose;0.999998;xrai
2408701;zebra;0.9999981;lime
2408719;ski;0.99999297;lime
2408884;zebra;0.9999913;xrai
2408970;zebra;0.9999865;xrai
2409063;zebra;0.999997;xrai
2409266;zebra;0.99999774;lime
2409472;umbrella;0.9999845;xrai
2409550;street_sign;0.99999905;xrai
2409589;zebra;0.99999976;xrai
2409637;four-poster;0.99999464;ig
2409765;zebra;0.99999833;xrai
2409822;steam_locomotive;0.9999906;ig
2409953;brown_bear;0.99998903;xrai
2410081;parking_meter;1.0;xrai
2410336;zebra;0.99999547;ig
2410410;ski;0.99999356;lime
2410440;parking_meter;0.99999106;xrai
2410779;parking_meter;0.99999917;xrai
2410903;steam_locomotive;0.9999876;ig
2410974;toilet_seat;0.9999939;lime
2411097;zebra;0.9999974;xrai
2411196;crane;0.9999995;xrai
2411372;parking_meter;0.999995;ig
2411390;parking_meter;0.9999988;xrai
2411407;zebra;0.9999969;lime
2411645;parking_meter;0.999985;xrai
2411646;banana;0.99999595;lime
2411665;zebra;0.99998856;xrai
2411784;traffic_light;0.9999945;xrai
2411841;zebra;0.99999833;xrai
2411942;zebra;0.99999654;anchor
2412027;school_bus;0.99998724;ig
2412267;zebra;0.9999939;lime
2412402;zebra;0.9999877;xrai
2412908;zebra;0.99998975;xrai
2412939;forklift;0.9999883;xrai
2413024;banana;1.0;lime
2413227;park_bench;0.99998546;ig
2413495;traffic_light;0.9999925;xrai
2413521;parking_meter;0.99999976;xrai
2413786;parking_meter;0.9999925;xrai
2414277;zebra;0.9999908;xrai
2414335;refrigerator;0.9999889;xrai
2414384;ski;0.9999949;lime
2414513;bagel;0.9999893;anchor
2414760;zebra;0.9999895;anchor
2414892;pizza;0.99999857;anchor
2414996;park_bench;0.9999907;xrai
2415102;zebra;0.9999876;xrai
2415402;zebra;0.99998903;xrai
2415567;zebra;0.9999902;xrai
2415648;broccoli;0.9999943;anchor
2415737;parking_meter;0.99999785;xrai
2415910;zebra;0.9999962;xrai
